NOMBRE_CONVOCATORIA,AÑO_CONVOCATORIA,FECHA_NACIMIENTO_ASPIRANTE,GENERO_ASPIRANTE,DPTO_NACIMIENTO_ASPIRANTE,POSIBLES_INSTITUCIONES_DE_ESTUDIO,PROGRAMA_DOCTORAL,PROG_NAL_CYT,GRAN_AREA_CONOCIMIENTO_ESTUDIO,AREA_CONOCIMIENTO_ESTUDIO
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,CHOCO,Polytechnic University of Valencia,Ingenieria Hidraulica y Medio Ambiente,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,INGENIERIA Y TECNOLOGIA,INGENIERIA AMBIENTAL
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,MIRANDA,York University,Environmental Studies (Estudios Medioambientales),Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,HUMANIDADES,ARTE
Doctorados Exterior 2014,2014,04/04/1979 12:00:00 AM,FEMENINO,CHOCO,Catholic University of Chile,Doctorado en Geografia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,GEOGRAFIA SOCIAL Y ECONOMICA
Doctorados Exterior 2014,2014,01/05/1978 12:00:00 AM,MASCULINO,BOGOTA D C,University of California Berkeley,Ph.D. in Architecture,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,HUMANIDADES,OTRAS HUMANIDADES
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,LA GUAJIRA,University of East Anglia,Postgraduate Research PhD,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,CIENCIAS BIOLOGICAS
Doctorados Exterior 2014,2014,02/01/1982 12:00:00 AM,MASCULINO,BOGOTA D C,Aarhus University,Graduate School of Science and Technology,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of St Andrews,Doctorado en Biologia,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,CIENCIAS BIOLOGICAS
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,ATLANTICO,University of Freiburg,DOCTORADO EN FILOSOFIA,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,OTRAS CIENCIAS SOCIALES
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Harvard University,Science Juris Doctor/Doctorado en Derecho,No Aplica,CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Massachusetts Amherst,Doctor of Education Language Literacy and Culture,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,HUMANIDADES,OTRAS HUMANIDADES
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of British Columbia,Cell Biology,Ciencias Basicas,CIENCIAS NATURALES,CIENCIAS BIOLOGICAS
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,BOYACA,University of Southampton,PhD Human Development  Health - code 4383,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,MEDICINA BASICA
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of New South Wales,Civil and Environmental Engineering PhD - University of New South Wales,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,INGENIERIA Y TECNOLOGIA,INGENIERIA AMBIENTAL
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Autonomous University of Barcelona,Biomedicina,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,MEDICINA BASICA
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,University of Alberta,Chemical Biology,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS NATURALES,CIENCIAS QUIMICAS
Doctorados Exterior 2014,2014,08/06/1984 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,University of Cambridge,PhD. in Biochemistry,Ciencias Basicas,CIENCIAS NATURALES,CIENCIAS BIOLOGICAS
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,HUILA,University of Valencia,Doctorado en Fisica,Ciencias Basicas,CIENCIAS NATURALES,CIENCIAS FISICAS
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University of Valencia,Doctorado en derechos humanos democracia y justicia internacional,No Aplica,CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2014,2014,01/08/1987 12:00:00 AM,MASCULINO,ATLANTICO,Purdue University - West Lafayette,Doctoral program in Computer Science,Ciencias Basicas,CIENCIAS NATURALES,COMPUTACION Y CIENCIAS DE LA INFORMACION
Doctorados Exterior 2014,2014,09/08/1985 12:00:00 AM,FEMENINO,BOGOTA D C,Ecole Normale Superieure - Paris,Ciencias de la sociedad,No Aplica,CIENCIAS SOCIALES,OTRAS CIENCIAS SOCIALES
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Autonomous University of Barcelona,Doctorado en investigacion en comunicacion y periodismo,No Aplica,CIENCIAS SOCIALES,PERIODISMO Y COMUNICACIONES
Doctorados Exterior 2014,2014,12/09/1981 12:00:00 AM,MASCULINO,BOGOTA D C,The Imperial College of Science Technology and Medicine,Environmental Research,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,Catholic University of Chile,Doctorado en Geografia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,GEOGRAFIA SOCIAL Y ECONOMICA
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,CUNDINAMARCA,University of California Santa Barbara,PhD Economia,No Aplica,CIENCIAS SOCIALES,ECONOMIA Y NEGOCIOS
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Tsinghua University,Filosofia de la ciencia y la tecnologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,OTRAS CIENCIAS SOCIALES
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,BOYACA,University of Birmingham,PhD in School of Biosciences,Biotecnologia,CIENCIAS NATURALES,COMPUTACION Y CIENCIAS DE LA INFORMACION
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,SANTANDER,Polytechnic University of Valencia,Doctorado en Ingenieria del Agua y Medio Ambiente,No Aplica,INGENIERIA Y TECNOLOGIA,INGENIERIA AMBIENTAL
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,Polytechnic University of Valencia,Biotecnologia,Biotecnologia,CIENCIAS MEDICAS Y DE LA SALUD,BIOTECNOLOGIA EN SALUD
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Pennsylvania State University - University Park,Ph.D. in Meteorology and Atmospheric Science,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES
Doctorados Exterior 2014,2014,06/08/1986 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,University of Pittsburgh,Clinical and Translational Science,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,CIENCIAS DE LA SALUD
Doctorados Exterior 2014,2014,10/04/1980 12:00:00 AM,MASCULINO,BOGOTA D C,Aix Marseille University,Doctorado de la Universidad de Aix-Marseille,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,PSICOLOGIA
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Canterbury,Doctor of Philosophy,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,PSICOLOGIA
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,University of Valencia,Administracion estrategica de las organizaciones,No Aplica,CIENCIAS SOCIALES,ECONOMIA Y NEGOCIOS
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Valencia,Direccion de empresas,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,ECONOMIA Y NEGOCIOS
Doctorados Exterior 2014,2014,08/02/1988 12:00:00 AM,MASCULINO,BOGOTA D C,Purdue University - West Lafayette,Ph.D. Program in Industrial Engineering. Purdue University - West Lafayette,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,OTRAS INGENIERIAS Y TECNOLOGIAS
Doctorados Exterior 2014,2014,09/02/1985 12:00:00 AM,MASCULINO,TOLIMA,Sao Paulo State University,Ciencias Biologicas-Genetica,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS NATURALES,CIENCIAS BIOLOGICAS
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,University of Granada,Dinamica de Flujos Biogeoquimicos,Ciencias del Mar y los Recursos Hidrobiologicos,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,The University of Texas at Austin,Doctoral Program in Food Studies and Food Management. New York University,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,OTRAS CIENCIAS SOCIALES
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,FEMENINO,TOLIMA,University of Sao Paulo,Recursos Florestais,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES
Doctorados Exterior 2014,2014,07/05/1980 12:00:00 AM,MASCULINO,ANTIOQUIA,Autonomous University of Barcelona,Doctorado en Educacion,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,CIENCIAS DE LA EDUCACION
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,CESAR,Paul Sabatier University (Toulouse 3),Doctorado Sciences et Technologies,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,OTRAS INGENIERIAS Y TECNOLOGIAS
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,TOLIMA,Polytechnic University of Valencia,Doctorado en Matematicas,Ciencias Basicas,CIENCIAS NATURALES,MATEMATICA
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,BOLIVAR,University of Leicester,Doctorado en Genetica,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,BIOTECNOLOGIA EN SALUD
Doctorados Exterior 2014,2014,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Polytechnic Institute of Milan,Doctorado en Ingenieria,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,INGENIERIA MECANICA
Doctorados Exterior 2014,2014,09/06/1976 12:00:00 AM,MASCULINO,BOGOTA D C,State University of Campinas,Doctorado en Antropologia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,OTRAS CIENCIAS SOCIALES
Doctorados Exterior 2014,2014,04/11/1987 12:00:00 AM,MASCULINO,ANTIOQUIA,Polytechnic Institute of Milan,Doctorado en ingenieria,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,INGENIERIA MECANICA
Doctorados Exterior 2015,2015,03/12/1986 12:00:00 AM,MASCULINO,CALDAS,Vrije University Brussel,Doctorado en ciencias economicas aplicadas,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,BIOTECNOLOGIA INDUSTRIAL
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,SANTANDER,University of Chile,Doctorado en ciencias de la ingenieria mencion ingenieria quimica,Investigaciones en Energia y Mineria,INGENIERIA Y TECNOLOGIA,INGENIERIA QUIMICA
Doctorados Exterior 2015,2015,01/11/1986 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Universidad Autonoma de Barcelona,Doctorat en Quimica,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS NATURALES,CIENCIAS QUIMICAS
Doctorados Exterior 2015,2015,04/03/1979 12:00:00 AM,FEMENINO,BOGOTA D C,State University of Campinas,Doctorado en politica cientifica y tecnologica,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,INGENIERIA Y TECNOLOGIA,OTRAS INGENIERIAS Y TECNOLOGIAS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,CUNDINAMARCA,Federal University of Minas Gerais,Doutorado Latino-americano em educacao Politicas publicas e porfissao doce,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,CIENCIAS DE LA EDUCACION
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Kings College London,Law Research MPhil/PhD (Full-time) Master/PhD en Investigacion del Derecho,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2015,2015,07/09/1973 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Universidad Autonoma de Barcelona,PhD in Entrepreneurship and Management,No Aplica,CIENCIAS SOCIALES,ECONOMIA Y NEGOCIOS
Doctorados Exterior 2015,2015,01/10/1975 12:00:00 AM,MASCULINO,SANTANDER,University of Konstanz,Doctorado en Ciencias de la Agricultura,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,CIENCIAS AGRICOLAS,OTRAS CIENCIAS AGRICOLAS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,University of Chile,Doctorado en Nutricion y Alimentos,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,OTRAS CIENCIAS MEDICAS
Doctorados Exterior 2015,2015,10/03/1985 12:00:00 AM,FEMENINO,CAUCA,University of Bristol,PhD in Earth Science,Ciencias del Mar y los Recursos Hidrobiologicos,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES
Doctorados Exterior 2015,2015,06/04/1982 12:00:00 AM,MASCULINO,BOGOTA D C,University of Barcelona,Doctorado en Ciudadania y Derechos Humanos,Ciencia Tecnologia e Innovacion en Seguridad y Defensa,CIENCIAS SOCIALES,CIENCIAS POLITICAS
Doctorados Exterior 2015,2015,12/08/1973 12:00:00 AM,FEMENINO,META,Polytechnic University of Valencia,Ingenieria del Agua y Medio Ambiental,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,INGENIERIA Y TECNOLOGIA,INGENIERIA AMBIENTAL
Doctorados Exterior 2015,2015,12/07/1984 12:00:00 AM,MASCULINO,ANTIOQUIA,University of Pompeu Fabra,Doctorado en Traduccion y Ciencias del Lenguaje,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,HUMANIDADES,IDIOMAS Y LITERATURA
Doctorados Exterior 2015,2015,11/06/1988 12:00:00 AM,MASCULINO,BOGOTA D C,University of Nottingham,PhD in Civil Engineering. University of Nottingham,No Aplica,INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,NARINO,University of Sao Paulo,Ingenieria Mecanica de Energia y Fluidos,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,INGENIERIA MECANICA
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,The University of Glasgow,PhD en Quimica,Ciencias Basicas,CIENCIAS NATURALES,CIENCIAS QUIMICAS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,SANTANDER,University of Sao Paulo,Programa Posgrado en Ingenieria Hidraulica y Saneamiento,Ciencia Tecnologia e innovacion en Ambiente Biodiversidad y Habitat,INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,ANTIOQUIA,University of Santiago Compostela,Doctorado en Desarrollo Regional e Integracion Economica,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,ECONOMIA Y NEGOCIOS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,MAGDALENA,University of Barcelona,Doctorado en Historia Economica,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,ECONOMIA Y NEGOCIOS
Doctorados Exterior 2015,2015,10/10/1984 12:00:00 AM,MASCULINO,ANTIOQUIA,University of Sao Paulo,Doctorado en Estadistica,Ciencias Basicas,CIENCIAS NATURALES,MATEMATICA
Doctorados Exterior 2015,2015,01/12/1979 12:00:00 AM,MASCULINO,NORTE DE SANTANDER,State University of Campinas,Doctorado en Antropologia Social,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,HUMANIDADES,OTRAS HUMANIDADES
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University of Gothenburg - University of Gothenburg,DOCTORADO EN MEDICINA,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,CIENCIAS DE LA SALUD
Doctorados Exterior 2015,2015,05/04/1987 12:00:00 AM,MASCULINO,BOYACA,University of Pompeu Fabra,Doctorado en Derecho,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,CESAR,University of Southampton,MPhil/PhD Primary Care  Population Science (4359),Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,CIENCIAS DE LA SALUD
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Federal University of Rio de Janeiro,DOUTORADO EM CIENCIA E TECNOLOGIA DE POLIMEROS,No Aplica,INGENIERIA Y TECNOLOGIA,INGENIERIA DE LOS MATERIALES
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,Federal University of Minas Gerais,Doutorado em Ciencias e Tecnicas Nucleares,Ciencia Tecnologia e Innovacion en Salud,INGENIERIA Y TECNOLOGIA,INGENIERIA MEDICA
Doctorados Exterior 2015,2015,12/05/1988 12:00:00 AM,FEMENINO,VALLE DEL CAUCA,Erasmus University,PhD in Health Sciences-Genetic Epidemiology,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,OTRAS CIENCIAS MEDICAS
Doctorados Exterior 2015,2015,02/08/1978 12:00:00 AM,MASCULINO,NARINO,University of Warwick,PhD in Sustainable materials,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,INGENIERIA DE LOS MATERIALES
Doctorados Exterior 2015,2015,12/10/1983 12:00:00 AM,MASCULINO,CESAR,University of Barcelona,Doctorado en Medicina,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,OTRAS CIENCIAS MEDICAS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,ATLANTICO,Complutense University of Madrid,Doctorado en Economia,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,ECONOMIA Y NEGOCIOS
Doctorados Exterior 2015,2015,11/10/1973 12:00:00 AM,MASCULINO,BOGOTA D C,University of Bath - University of Bath,PhD Education,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,HUMANIDADES,IDIOMAS Y LITERATURA
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,ANTIOQUIA,Catholic University of Chile,Doctorado en ciencias de la ingenieria,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University College London,PhD Energy,Investigaciones en Energia y Mineria,CIENCIAS SOCIALES,ECONOMIA Y NEGOCIOS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,CAUCA,Purdue University - West Lafayette,Doctorado en Ingenieria Civil,No Aplica,INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Catholic University of Chile,Doctorado en Fisica,Ciencias Basicas,CIENCIAS NATURALES,CIENCIAS FISICAS
Doctorados Exterior 2015,2015,07/05/1988 12:00:00 AM,FEMENINO,BOGOTA D C,Joseph Fourier University (Grenoble 1),Doctorado en Ingenieria Industrial U. Joseph Fourier / Grenoble Alpes,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,OTRAS INGENIERIAS Y TECNOLOGIAS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,London School of Hygiene and Tropical Medicine,MPhil/PhD - Infectious  Tropical Diseases,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,OTRAS CIENCIAS MEDICAS
Doctorados Exterior 2015,2015,06/03/1983 12:00:00 AM,MASCULINO,ANTIOQUIA,University of Pompeu Fabra,Doctorado en Derecho,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,Purdue University - West Lafayette,Entomology,No Aplica,CIENCIAS AGRICOLAS,AGRICULTURA SILVICULTURA Y PESCA
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Sao Paulo,Doctorado en FIsioterapia - Evaluacion e intervencion de sistemas,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,CIENCIAS DE LA SALUD
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University of British Columbia,PhD in Library Archival and Information Studies,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,OTRAS CIENCIAS SOCIALES
Doctorados Exterior 2015,2015,03/09/1984 12:00:00 AM,MASCULINO,BOGOTA D C,London School of Hygiene and Tropical Medicine,PhD Epidemiology  Population Health,Ciencia Tecnologia e Innovacion en Salud,CIENCIAS MEDICAS Y DE LA SALUD,CIENCIAS DE LA SALUD
Doctorados Exterior 2015,2015,11/07/1986 12:00:00 AM,MASCULINO,BOGOTA D C,The University of Dundee,Ingenieria,Investigaciones en Energia y Mineria,CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,CAQUETA,University College London,Plant Molecular Sciences,Ciencia Tecnologia e Innovacion en Ciencias Agropecuarias,CIENCIAS NATURALES,CIENCIAS BIOLOGICAS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,SANTANDER,Polytechnic University of Catalonia,Doctorado en Ingenieria Civil,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,INGENIERIA CIVIL
Doctorados Exterior 2015,2015,06/08/1982 12:00:00 AM,FEMENINO,BOGOTA D C,Stanford University,Doctor of Science of Law (JSD),No Aplica,CIENCIAS SOCIALES,DERECHO
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,CUNDINAMARCA,Paul Sabatier University (Toulouse 3),Logistica de deconstruccion de sistemas complejos en economia circular,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,OTRAS INGENIERIAS Y TECNOLOGIAS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,BOGOTA D C,University of Barcelona,Doctorado en Filosofia Contemporanea y estudios clasicos,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,HUMANIDADES,OTRAS HUMANIDADES
Doctorados Exterior 2015,2015,09/09/1985 12:00:00 AM,FEMENINO,BOGOTA D C,The University of Texas at Austin,PhD in Linguistics - The University of Texas at Austin,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,HUMANIDADES,IDIOMAS Y LITERATURA
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,University of Antwerp,PhD in Biology,Ciencias del Mar y los Recursos Hidrobiologicos,CIENCIAS NATURALES,CIENCIAS BIOLOGICAS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,Swiss Federal Institute of Technology Zurich,PhD Program at Swiss Seismological Service.,Ciencias Basicas,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES
Doctorados Exterior 2015,2015,11/08/1984 12:00:00 AM,MASCULINO,BOGOTA D C,Autonomous University of Barcelona,DOCTORADO EN EDUCACION,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,SOCIOLOGIA
Doctorados Exterior 2015,2015,11/04/1991 12:00:00 AM,MASCULINO,SANTANDER,Texas A  M University,Doctorado en Geologia,Investigaciones en Energia y Mineria,CIENCIAS NATURALES,CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES
Doctorados Exterior 2015,2015,06/03/1985 12:00:00 AM,MASCULINO,CUNDINAMARCA,University of Roma - La Sapienza,International Relativistic Astrophysics Ph.D,Ciencias Basicas,CIENCIAS NATURALES,CIENCIAS FISICAS
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,FEMENINO,TOLIMA,University of Barcelona,Formacion del profesorado Practica Comunicativa y educacion,Ciencia Tecnologia e Innovacion en Ciencias Humanas Sociales y  Educacion,CIENCIAS SOCIALES,CIENCIAS DE LA EDUCACION
Doctorados Exterior 2015,2015,06/06/1988 12:00:00 AM,MASCULINO,SANTANDER,University of Bordeaux,Doctorado en ingenieria mecanica,Ciencia Tecnologia e Innovacion en Ingenieria,INGENIERIA Y TECNOLOGIA,INGENIERIA MECANICA
Doctorados Exterior 2015,2015,01/01/1900 12:00:00 AM,MASCULINO,BOGOTA D C,King Abdullah University of Science and Technology,PhD Biological Sciences,Biotecnologia,INGENIERIA Y TECNOLOGIA,BIOTECNOLOGIA AMBIENTAL
Doctorados Exterior 2015,2015,11/11/1980 12:00:00 AM,MASCULINO,VALLE DEL CAUCA,University of Buenos Aires,Doctorado en Ciencias Sociales,No Aplica,CIENCIAS SOCIALES,SOCIOLOGIA
